Province,Year,Harvest Area(ha),Productivity (ku/ha),Production(ton),Island
North Kalimantan,2018,13707.0,32.88,45063.53,Kalimantan
North Kalimantan,2019,10294.7,32.4,33357.19,Kalimantan
North Kalimantan,2020,9883.05,33.97,33574.28,Kalimantan
North Kalimantan,2021,8880.83,33.74,29967.31,Kalimantan
North Kalimantan,2022,8604.19,35.49,30533.59,Kalimantan
North Kalimantan,2023,6499.92,36.31,23602.0,Kalimantan
North Kalimantan,2024,8282.06,36.32,30079.77,Kalimantan
Bangka Belitung Islands,2018,17233.59,26.53,45724.69,Sumatra
Bangka Belitung Islands,2019,17087.81,28.56,48805.68,Sumatra
Bangka Belitung Islands,2020,17840.55,32.13,57324.32,Sumatra
Bangka Belitung Islands,2021,18278.27,38.57,70496.25,Sumatra
Bangka Belitung Islands,2022,15107.8,40.66,61425.07,Sumatra
Bangka Belitung Islands,2023,15284.56,43.49,66468.89,Sumatra
Bangka Belitung Islands,2024,18202.56,42.57,77489.79,Sumatra
Riau Islands,2018,375.87,29.19,1097.0,Sumatra
Riau Islands,2019,356.27,32.3,1150.8,Sumatra
Riau Islands,2020,298.52,28.56,852.54,Sumatra
Riau Islands,2021,270.16,31.65,855.01,Sumatra
Riau Islands,2022,179.48,28.24,506.91,Sumatra
Riau Islands,2023,115.27,28.11,324.01,Sumatra
Riau Islands,2024,113.33,26.92,305.09,Sumatra
Lampung,2018,511940.93,48.61,2488641.91,Sumatra
Lampung,2019,464103.42,46.63,2164089.33,Sumatra
Lampung,2020,545149.05,48.62,2650289.64,Sumatra
Lampung,2021,489573.23,50.77,2485452.78,Sumatra
Lampung,2022,518256.1,51.87,2688160.0,Sumatra
Lampung,2023,530108.09,52.03,2757898.19,Sumatra
Lampung,2024,531715.12,52.5,2791347.53,Sumatra
Maluku,2018,29052.14,40.01,116228.86,Maluku
Maluku,2019,25976.85,37.82,98254.75,Maluku
Maluku,2020,28668.22,38.53,110447.3,Maluku
Maluku,2021,28319.75,41.24,116803.67,Maluku
Maluku,2022,23987.82,38.6,92601.06,Maluku
Maluku,2023,22636.68,35.32,79958.34,Maluku
Maluku,2024,23947.35,38.05,91125.35,Maluku
North Maluku,2018,13412.75,36.57,49047.11,Maluku
North Maluku,2019,11700.5,32.43,37945.64,Maluku
North Maluku,2020,10301.91,42.11,43382.85,Maluku
North Maluku,2021,7781.96,36.05,28050.8,Maluku
North Maluku,2022,6416.45,38.16,24486.03,Maluku
North Maluku,2023,7709.07,34.59,26663.23,Maluku
North Maluku,2024,9366.71,33.34,31232.95,Maluku
West Nusa Tenggara,2018,289242.59,50.49,1460338.81,Bali–Nusa Tenggara
West Nusa Tenggara,2019,281666.04,49.78,1402182.39,Bali–Nusa Tenggara
West Nusa Tenggara,2020,273460.82,48.17,1317189.81,Bali–Nusa Tenggara
West Nusa Tenggara,2021,276211.88,51.39,1419559.84,Bali–Nusa Tenggara
West Nusa Tenggara,2022,270092.9,53.79,1452945.0,Bali–Nusa Tenggara
West Nusa Tenggara,2023,287512.14,53.51,1538536.92,Bali–Nusa Tenggara
West Nusa Tenggara,2024,281717.84,51.59,1453408.37,Bali–Nusa Tenggara
East Nusa Tenggara,2018,218232.91,41.24,899935.88,Bali–Nusa Tenggara
