Province,Harvest Area (ha),Productivity (ku/ha),Production (Ton),Year,Island
West Sulawesi,5670.96,53.23,30186.61,2022,Sulawesi
Maluku,2698.04,58.14,15687.0,2022,Maluku
North Maluku,1694.49,45.51,7712.31,2022,Maluku
West Papua,1351.48,47.96,6481.32,2022,Papua
Papua,0.0,0.0,0.0,2022,Papua
Papua,3002.53,50.42,15140.06,2022,Papua
Papua,0.0,0.0,0.0,2022,Papua
Papua,0.0,0.0,0.0,2022,Papua
Papua,0.0,0.0,0.0,2022,Papua
Aceh,11728.37,56.58,66363.62,2023,Sumatra
North Sumatra,211105.36,63.63,1343290.59,2023,Sumatra
West Sumatra,79630.77,62.19,495223.45,2023,Sumatra
Riau,216.35,31.83,688.71,2023,Sumatra
Jambi,781.46,60.46,4724.77,2023,Sumatra
South Sumatra,46247.92,61.55,284643.31,2023,Sumatra
Bengkulu,7900.85,63.82,50421.07,2023,Sumatra
Lampung,166215.32,66.4,1103640.11,2023,Sumatra
Bangka Belitung Islands,23.25,47.87,111.3,2023,Sumatra
Riau Islands,2.07,50.48,10.45,2023,Sumatra
Jakarta,0.0,0.0,0.0,2023,Java
West Java,76901.39,75.06,577185.49,2023,Java
Central Java,371046.77,58.6,2174484.3,2023,Java
Daerah Istimewa Yogyakarta,40056.38,54.31,217545.73,2023,Java
East Java,759060.89,63.18,4795780.82,2023,Java
Banten,1920.27,74.82,14367.12,2023,Java
Bali,9277.78,50.55,46901.81,2023,Bali–Nusa Tenggara
West Nusa Tenggara,179029.73,71.55,1281035.02,2023,Bali–Nusa Tenggara
East Nusa Tenggara,101512.09,25.8,261854.94,2023,Bali–Nusa Tenggara
West Kalimantan,15099.14,43.88,66248.12,2023,Kalimantan
Central Kalimantan,5935.59,42.93,25482.89,2023,Kalimantan
South Kalimantan,18382.82,61.01,112150.44,2023,Kalimantan
East Kalimantan,1867.63,60.12,11228.48,2023,Kalimantan
North Kalimantan,170.45,50.24,856.42,2023,Kalimantan
North Sulawesi,25262.2,32.87,83046.33,2023,Sulawesi
Central Sulawesi,18002.68,40.54,72981.58,2023,Sulawesi
South Sulawesi,181800.85,56.41,1025516.26,2023,Sulawesi
Southeast Sulawesi,18987.59,36.61,69512.45,2023,Sulawesi
Gorontalo,114355.96,46.16,527923.15,2023,Sulawesi
